arrival_update_on,company_id,location_id,working_period_id,sr_no,etd_departure,atd_departure,eta_destination,ata_destination,flight_date,eta_departure,departure_updated_on,shipment_id,mode,vessel_type,departure_source,arrival_source,remarks,carrier,carrier_vessel,company,job_no,location_name,location_code,voyage_no,departure_port_code,destination_port_code,departure_port_name,destination_port_name,transit_time_planned_days,no_of_transshipments,shipment_weight_kg,cargo_type,carrier_reliability_score,weather_severity_score,holiday_flag,shipment_delay_days,check_delay
2025-05-01 16:15:30,133,1209,11,11,2025-04-07 04:15:30,2025-04-10 04:15:30,2025-04-21 04:15:30,2025-04-30 04:15:30,2025-04-07 12:15:30,2025-04-06 23:15:30,2025-04-11 13:15:30,534814,Sea,Bulk Carrier,System,Manual,Berthing Delay,Maersk,COSCO Shipping Taurus,Oceanic Pvt Ltd,JOB200010,Mumbai,BOM,VOY513N,PTL,LCH,ICD Patli,Laem Chabang,14,0,9630,Hazardous,0.91,4,0,9,9
2024-03-18 07:40:43,178,1826,17,12,2024-02-26 21:40:43,2024-02-28 21:40:43,2024-03-06 21:40:43,2024-03-16 21:40:43,2024-02-27 04:40:43,2024-02-26 09:40:43,2024-03-01 18:40:43,587538,Sea,Tanker,Manual,System,Weather Delay,CMA CGM,Maersk Alabama,Oceanic Pvt Ltd,JOB200011,Mumbai,BOM,VOY371S,PTL,DXB,ICD Patli,Jebel Ali,9,2,4986,Reefer,0.87,2,1,10,10
2025-04-25 11:50:42,142,1789,5,13,2025-04-14 18:50:42,2025-04-16 18:50:42,2025-04-21 18:50:42,2025-04-24 18:50:42,2025-04-14 06:50:42,2025-04-15 02:50:42,2025-04-16 20:50:42,534335,Sea,Container Ship,Manual,Manual,Port Congestion,MSC,Evergreen Ever Given,LogiCorp,JOB200012,Mumbai,BOM,VOY308E,PUS,TSN,Busan,Tianjin,7,0,1947,Reefer,0.92,4,0,3,3
2025-11-06 00:58:43,113,1362,18,14,2025-10-10 05:58:43,2025-10-10 05:58:43,2025-10-29 05:58:43,2025-11-04 05:58:43,2025-10-11 11:58:43,2025-10-10 06:58:43,2025-10-10 20:58:43,581351,Sea,Tanker,System,System,Weather Delay,MSC,Maersk Alabama,LogiCorp,JOB200013,Singapore,BOM,VOY251W,RTM,SIN,Rotterdam,Singapore Port,19,0,7984,Reefer,0.96,2,1,6,6
2025-09-28 14:44:48,139,1840,8,15,2025-09-15 02:44:48,2025-09-15 02:44:48,2025-09-21 02:44:48,2025-09-28 02:44:48,2025-09-15 12:44:48,2025-09-14 21:44:48,2025-09-16 07:44:48,503101,Sea,Tanker,System,Manual,Customs Hold,COSCO,COSCO Haiphong,Oceanic Pvt Ltd,JOB200014,Mumbai,RTM,VOY930S,HAM,RTM,Hamburg,Rotterdam,6,0,5428,Bulk,0.87,4,1,7,7
2025-07-03 22:08:08,200,1321,14,16,2025-06-11 19:08:08,2025-06-14 19:08:08,2025-06-26 19:08:08,2025-07-02 19:08:08,2025-06-13 05:08:08,2025-06-12 02:08:08,2025-06-15 17:08:08,567033,Sea,Container Ship,Manual,System,Customs Hold,Yang Ming,Maersk Alabama,LogiCorp,JOB200015,Hamburg,SIN,VOY439N,SHA,PTL,Shanghai Port,ICD Patli,15,0,1041,Dry Container,0.82,4,0,6,6
2024-10-27 17:34:49,116,1196,14,17,2024-10-09 21:34:49,2024-10-11 21:34:49,2024-10-19 21:34:49,2024-10-25 21:34:49,2024-10-10 20:34:49,2024-10-10 06:34:49,2024-10-12 15:34:49,549695,Sea,Tanker,System,Manual,Berthing Delay,CMA CGM,CMA CGM Marco Polo,GlobalFreight,JOB200016,Mumbai,RTM,VOY438E,DDR,CIC,Dadri ICD,Inland Chennai ICD,10,0,7642,Bulk,0.87,1,1,6,6
2025-10-02 01:36:22,181,1634,11,18,2025-09-02 07:36:22,2025-09-01 07:36:22,2025-09-15 07:36:22,2025-10-01 07:36:22,2025-09-03 13:36:22,2025-09-01 21:36:22,2025-09-02 15:36:22,598453,Sea,Container Ship,Manual,System,Weather Delay,COSCO,CMA CGM Marco Polo,LogiCorp,JOB200017,Mumbai,BOM,VOY429W,TSN,DDR,Tianjin,Dadri ICD,13,1,5336,Reefer,0.84,3,0,16,16
2025-01-22 17:34:21,128,1180,17,19,2024-12-19 17:34:21,2024-12-18 17:34:21,2025-01-10 17:34:21,2025-01-20 17:34:21,2024-12-20 08:34:21,2024-12-19 19:34:21,2024-12-18 23:34:21,506582,Sea,Tanker,System,System,Berthing Delay,CMA CGM,CMA CGM Marco Polo,LogiCorp,JOB200018,Singapore,HAM,VOY689S,TKD,JNPT,Tughlakabad ICD,Nhava Sheva (JNPT),22,0,6529,Bulk,0.87,3,1,10,10
2025-11-03 19:55:53,191,1292,8,20,2025-10-07 02:55:53,2025-10-07 02:55:53,2025-10-24 02:55:53,2025-11-03 02:55:53,2025-10-06 18:55:53,2025-10-06 22:55:53,2025-10-08 06:55:53,544020,Sea,Bulk Carrier,System,System,Weather Delay,ONE,Yang Ming Glory,LogiCorp,JOB200019,Singapore,HAM,VOY262W,TSN,HAM,Tianjin,Hamburg,17,1,7219,Reefer,0.86,1,0,10,10
2024-12-28 11:41:53,138,1771,13,21,2024-11-18 05:41:53,2024-11-20 05:41:53,2024-12-19 05:41:53,2024-12-27 05:41:53,2024-11-18 15:41:53,2024-11-18 06:41:53,2024-11-20 05:41:53,570545,Sea,Tanker,System,Manual,Weather Delay,CMA CGM,Maersk Alabama,Oceanic Pvt Ltd,JOB200020,Singapore,SIN,VOY577W,SIN,LAX,Singapore Port,Los Angeles,31,1,4226,Dry Container,0.86,3,1,8,8
2025-06-25 06:42:28,182,1438,5,22,2025-06-03 12:42:28,2025-06-06 12:42:28,2025-06-14 12:42:28,2025-06-23 12:42:28,2025-06-03 05:42:28,2025-06-03 14:42:28,2025-06-06 13:42:28,523819,Sea,Container Ship,Manual,Manual,Customs Hold,Hapag-Lloyd,ONE Apus,LogiCorp,JOB200021,Singapore,RTM,VOY841S,CIC,TSN,Inland Chennai ICD,Tianjin,11,0,7749,Bulk,0.86,3,1,9,9
2025-08-24 19:28:44,103,1972,8,23,2025-08-07 02:28:44,2025-08-06 02:28:44,2025-08-18 02:28:44,2025-08-23 02:28:44,2025-08-08 14:28:44,2025-08-06 20:28:44,2025-08-06 04:28:44,502671,Sea,Tanker,System,System,Weather Delay,Yang Ming,ONE Apus,Oceanic Pvt Ltd,JOB200022,Hamburg,BOM,VOY358N,TSN,SIN,Tianjin,Singapore Port,11,1,2009,Reefer,0.82,3,1,5,5
2025-09-05 11:01:00,191,1203,3,24,2025-08-18 16:01:00,2025-08-21 16:01:00,2025-08-30 16:01:00,2025-09-03 16:01:00,2025-08-19 05:01:00,2025-08-18 22:01:00,2025-08-22 16:01:00,590520,Sea,Tanker,System,System,Customs Hold,MSC,MSC Isabella,GlobalFreight,JOB200023,Los Angeles,BOM,VOY721N,KHJ,CIC,Khurja ICD,Inland Chennai ICD,12,0,5741,Dry Container,0.92,2,1,4,4
2025-06-30 16:39:05,122,1751,17,25,2025-05-28 19:39:05,2025-05-30 19:39:05,2025-06-17 19:39:05,2025-06-28 19:39:05,2025-05-29 10:39:05,2025-05-29 03:39:05,2025-05-31 04:39:05,535400,Sea,Tanker,Manual,Manual,Berthing Delay,MSC,Maersk Alabama,GlobalFreight,JOB200024,Los Angeles,RTM,VOY763E,SIN,CIC,Singapore Port,Inland Chennai ICD,20,1,3387,Bulk,0.91,1,0,11,11
2024-08-30 22:35:57,133,1348,9,26,2024-08-04 15:35:57,2024-08-04 15:35:57,2024-08-23 15:35:57,2024-08-29 15:35:57,2024-08-05 01:35:57,2024-08-04 22:35:57,2024-08-05 04:35:57,591905,Sea,Bulk Carrier,System,System,On Schedule,ONE,COSCO Shipping Taurus,LogiCorp,JOB200025,Hamburg,SIN,VOY868W,LCH,DDR,Laem Chabang,Dadri ICD,19,0,5845,Hazardous,0.88,4,0,6,6
2025-07-08 04:53:28,147,1484,18,27,2025-06-20 09:53:28,2025-06-20 09:53:28,2025-06-29 09:53:28,2025-07-07 09:53:28,2025-06-21 10:53:28,2025-06-20 13:53:28,2025-06-22 03:53:28,545056,Sea,Bulk Carrier,Manual,Manual,Berthing Delay,CMA CGM,COSCO Haiphong,Oceanic Pvt Ltd,JOB200026,Rotterdam,RTM,VOY602W,KHJ,SIN,Khurja ICD,Singapore Port,9,0,7054,Reefer,0.83,0,0,8,8
2024-10-13 16:14:24,138,1014,18,28,2024-09-02 02:14:24,2024-09-03 02:14:24,2024-10-05 02:14:24,2024-10-13 02:14:24,2024-09-02 01:14:24,2024-09-01 18:14:24,2024-09-04 01:14:24,535954,Sea,Container Ship,System,Manual,Weather Delay,Maersk,Maersk Alabama,GlobalFreight,JOB200027,Singapore,BOM,VOY880S,LAX,TKD,Los Angeles,Tughlakabad ICD,33,0,7606,Dry Container,0.89,4,1,8,8
2025-01-24 02:11:35,106,1155,5,29,2024-12-30 14:11:35,2024-12-29 14:11:35,2025-01-21 14:11:35,2025-01-22 14:11:35,2024-12-31 21:11:35,2024-12-30 20:11:35,2024-12-31 06:11:35,539824,Sea,Container Ship,System,System,Port Congestion,CMA CGM,Evergreen Ever Given,Oceanic Pvt Ltd,JOB200028,Los Angeles,LAX,VOY288N,HAM,CIC,Hamburg,Inland Chennai ICD,22,0,5892,Reefer,0.88,4,1,1,1
2025-01-17 14:11:53,120,1245,6,30,2024-12-15 22:11:53,2024-12-15 22:11:53,2025-01-13 22:11:53,2025-01-16 22:11:53,2024-12-15 15:11:53,2024-12-16 03:11:53,2024-12-17 16:11:53,509838,Sea,Container Ship,System,Manual,Berthing Delay,ONE,Hapag-Lloyd Jakarta Express,GlobalFreight,JOB200029,Los Angeles,SIN,VOY980W,HAM,LCH,Hamburg,Laem Chabang,29,0,6859,Bulk,0.83,0,0,3,3
2024-09-08 08:39:51,134,1846,5,31,2024-08-11 18:39:51,2024-08-14 18:39:51,2024-08-25 18:39:51,2024-09-07 18:39:51,2024-08-11 15:39:51,2024-08-11 08:39:51,2024-08-16 11:39:51,507816,Sea,Container Ship,Manual,Manual,Berthing Delay,Hapag-Lloyd,COSCO Haiphong,LogiCorp,JOB200030,Singapore,HAM,VOY980W,SHA,DDR,Shanghai Port,Dadri ICD,14,2,3745,Bulk,0.87,3,1,13,13
2025-02-24 12:28:39,102,1783,9,32,2025-01-23 17:28:39,2025-01-23 17:28:39,2025-02-09 17:28:39,2025-02-22 17:28:39,2025-01-24 18:28:39,2025-01-23 23:28:39,2025-01-25 05:28:39,505273,Sea,Container Ship,Manual,Manual,Customs Hold,CMA CGM,Yang Ming Glory,LogiCorp,JOB200031,Los Angeles,SIN,VOY182N,PTL,JNPT,ICD Patli,Nhava Sheva (JNPT),17,1,7895,Hazardous,0.89,0,1,13,13
2024-10-29 06:27:51,158,1090,11,33,2024-09-27 06:27:51,2024-09-29 06:27:51,2024-10-14 06:27:51,2024-10-27 06:27:51,2024-09-26 20:27:51,2024-09-27 02:27:51,2024-09-30 17:27:51,542372,Sea,Container Ship,Manual,System,Port Congestion,CMA CGM,Evergreen Ever Given,Oceanic Pvt Ltd,JOB200032,Singapore,BOM,VOY786N,CIC,RTM,Inland Chennai ICD,Rotterdam,17,1,6283,Reefer,0.87,4,1,13,13
2025-06-08 21:44:11,177,1818,8,34,2025-04-28 14:44:11,2025-04-30 14:44:11,2025-06-02 14:44:11,2025-06-08 14:44:11,2025-04-29 18:44:11,2025-04-29 00:44:11,2025-04-30 15:44:11,520758,Sea,Bulk Carrier,System,Manual,On Schedule,Hapag-Lloyd,CMA CGM Marco Polo,LogiCorp,JOB200033,Mumbai,SIN,VOY552N,LAX,HAM,Los Angeles,Hamburg,35,1,5438,Dry Container,0.92,1,1,6,6
2026-01-26 09:54:47,165,1764,5,35,2025-12-25 09:54:47,2025-12-25 09:54:47,2026-01-16 09:54:47,2026-01-25 09:54:47,2025-12-26 11:54:47,2025-12-24 23:54:47,2025-12-25 21:54:47,536208,Sea,Bulk Carrier,Manual,Manual,On Schedule,Hapag-Lloyd,Maersk Alabama,Oceanic Pvt Ltd,JOB200034,Hamburg,RTM,VOY822E,JNPT,CIC,Nhava Sheva (JNPT),Inland Chennai ICD,22,0,4180,Hazardous,0.88,1,1,9,9
2025-03-19 09:52:10,160,1722,13,36,2025-02-22 07:52:10,2025-02-24 07:52:10,2025-03-11 07:52:10,2025-03-19 07:52:10,2025-02-23 18:52:10,2025-02-22 07:52:10,2025-02-25 03:52:10,586991,Sea,Tanker,System,Manual,On Schedule,CMA CGM,Evergreen Ever Given,LogiCorp,JOB200035,Los Angeles,LAX,VOY665W,TSN,PTL,Tianjin,ICD Patli,17,1,4270,Bulk,0.91,0,1,8,8
2024-04-06 06:45:38,110,1872,11,37,2024-03-18 10:45:38,2024-03-21 10:45:38,2024-03-29 10:45:38,2024-04-04 10:45:38,2024-03-19 15:45:38,2024-03-18 19:45:38,2024-03-22 11:45:38,569942,Sea,Bulk Carrier,Manual,Manual,Port Congestion,CMA CGM,Yang Ming Glory,LogiCorp,JOB200036,Los Angeles,BOM,VOY115S,JNPT,CIC,Nhava Sheva (JNPT),Inland Chennai ICD,11,0,4413,Reefer,0.88,2,0,6,6
2025-08-25 18:44:02,155,1149,8,38,2025-08-03 00:44:02,2025-08-02 00:44:02,2025-08-22 00:44:02,2025-08-25 00:44:02,2025-08-03 11:44:02,2025-08-03 04:44:02,2025-08-02 22:44:02,554008,Sea,Tanker,System,System,Weather Delay,Maersk,Maersk Mc-Kinney Moller,LogiCorp,JOB200037,Los Angeles,SIN,VOY878N,TSN,RTM,Tianjin,Rotterdam,19,0,4277,Reefer,0.91,3,0,3,3
2024-07-26 21:18:22,154,1706,9,39,2024-06-29 08:18:22,2024-06-30 08:18:22,2024-07-20 08:18:22,2024-07-25 08:18:22,2024-06-30 12:18:22,2024-06-29 10:18:22,2024-07-01 03:18:22,539599,Sea,Container Ship,Manual,Manual,On Schedule,CMA CGM,Hapag-Lloyd Jakarta Express,LogiCorp,JOB200038,Singapore,LAX,VOY570E,DDR,SIN,Dadri ICD,Singapore Port,21,0,6010,Bulk,0.88,4,1,5,5
2025-07-17 17:30:24,181,1194,20,40,2025-06-27 03:30:24,2025-06-27 03:30:24,2025-06-30 03:30:24,2025-07-16 03:30:24,2025-06-27 05:30:24,2025-06-26 23:30:24,2025-06-28 01:30:24,588835,Sea,Tanker,System,System,On Schedule,MSC,CMA CGM Marco Polo,Oceanic Pvt Ltd,JOB200039,Singapore,BOM,VOY505E,SIN,LCH,Singapore Port,Laem Chabang,3,2,8509,Bulk,0.88,1,0,16,16
2026-01-20 18:41:29,143,1823,4,41,2025-12-07 12:41:29,2025-12-08 12:41:29,2026-01-11 12:41:29,2026-01-19 12:41:29,2025-12-08 23:41:29,2025-12-07 14:41:29,2025-12-09 06:41:29,509869,Sea,Container Ship,System,Manual,Port Congestion,MSC,COSCO Haiphong,Oceanic Pvt Ltd,JOB200040,Mumbai,SIN,VOY525S,LAX,RTM,Los Angeles,Rotterdam,35,0,4933,Dry Container,0.86,2,0,8,8
2025-01-10 20:49:33,178,1226,3,42,2024-12-19 05:49:33,2024-12-18 05:49:33,2025-01-06 05:49:33,2025-01-09 05:49:33,2024-12-19 13:49:33,2024-12-19 13:49:33,2024-12-19 16:49:33,560852,Sea,Tanker,Manual,Manual,On Schedule,MSC,COSCO Haiphong,LogiCorp,JOB200041,Mumbai,BOM,VOY788E,LCH,JNPT,Laem Chabang,Nhava Sheva (JNPT),18,0,3918,Bulk,0.9,3,0,3,3
2024-04-17 18:47:24,135,1033,12,43,2024-03-16 11:47:24,2024-03-15 11:47:24,2024-04-09 11:47:24,2024-04-16 11:47:24,2024-03-17 01:47:24,2024-03-16 05:47:24,2024-03-17 02:47:24,558115,Sea,Bulk Carrier,System,Manual,On Schedule,MSC,Maersk Alabama,GlobalFreight,JOB200042,Rotterdam,LAX,VOY238W,TSN,DXB,Tianjin,Jebel Ali,24,0,5753,Bulk,0.9,0,1,7,7
2024-08-26 14:48:10,108,1849,18,44,2024-08-02 06:48:10,2024-08-02 06:48:10,2024-08-15 06:48:10,2024-08-26 06:48:10,2024-08-02 07:48:10,2024-08-02 00:48:10,2024-08-03 18:48:10,576858,Sea,Container Ship,System,Manual,Weather Delay,Maersk,Maersk Mc-Kinney Moller,GlobalFreight,JOB200043,Mumbai,RTM,VOY968W,SHA,DDR,Shanghai Port,Dadri ICD,13,0,4981,Reefer,0.93,1,1,11,11
2025-10-08 21:22:35,194,1431,17,45,2025-09-12 05:22:35,2025-09-12 05:22:35,2025-10-03 05:22:35,2025-10-08 05:22:35,2025-09-12 01:22:35,2025-09-11 20:22:35,2025-09-12 08:22:35,597735,Sea,Container Ship,Manual,Manual,Customs Hold,Maersk,CMA CGM Marco Polo,GlobalFreight,JOB200044,Los Angeles,BOM,VOY987N,RTM,SIN,Rotterdam,Singapore Port,21,0,6879,Hazardous,0.94,4,0,5,5
2025-05-08 01:25:21,109,1920,3,46,2025-04-22 18:25:21,2025-04-21 18:25:21,2025-04-29 18:25:21,2025-05-06 18:25:21,2025-04-23 10:25:21,2025-04-22 16:25:21,2025-04-23 15:25:21,579730,Sea,Container Ship,System,System,Customs Hold,Maersk,CMA CGM Marco Polo,GlobalFreight,JOB200045,Hamburg,LAX,VOY633E,TSN,DDR,Tianjin,Dadri ICD,7,1,8460,Bulk,0.9,3,1,7,7
2025-01-18 06:52:06,153,1747,4,47,2024-12-18 09:52:06,2024-12-20 09:52:06,2025-01-11 09:52:06,2025-01-17 09:52:06,2024-12-18 22:52:06,2024-12-18 07:52:06,2024-12-21 14:52:06,555936,Sea,Bulk Carrier,Manual,Manual,Weather Delay,CMA CGM,ONE Apus,GlobalFreight,JOB200046,Singapore,BOM,VOY201N,CIC,DDR,Inland Chennai ICD,Dadri ICD,24,0,10476,Dry Container,0.89,0,0,6,6
2024-12-24 12:45:42,196,1433,2,48,2024-12-01 10:45:42,2024-11-30 10:45:42,2024-12-13 10:45:42,2024-12-23 10:45:42,2024-12-02 16:45:42,2024-12-01 07:45:42,2024-12-01 08:45:42,578696,Sea,Bulk Carrier,Manual,System,Port Congestion,Maersk,COSCO Haiphong,GlobalFreight,JOB200047,Dubai,DXB,VOY481S,PUS,SIN,Busan,Singapore Port,12,0,7307,Hazardous,0.91,1,0,10,10
2024-11-08 23:35:52,189,1780,10,49,2024-09-28 22:35:52,2024-09-29 22:35:52,2024-10-29 22:35:52,2024-11-08 22:35:52,2024-09-29 03:35:52,2024-09-28 20:35:52,2024-09-30 09:35:52,546009,Sea,Container Ship,System,System,Port Congestion,Evergreen,Evergreen Ever Given,GlobalFreight,JOB200048,Singapore,BOM,VOY217E,LCH,LAX,Laem Chabang,Los Angeles,31,1,3741,Reefer,0.87,0,0,10,10
2025-08-25 17:31:52,120,1772,20,50,2025-08-02 12:31:52,2025-08-05 12:31:52,2025-08-20 12:31:52,2025-08-25 12:31:52,2025-08-02 09:31:52,2025-08-02 01:31:52,2025-08-05 15:31:52,588338,Sea,Container Ship,Manual,Manual,Berthing Delay,CMA CGM,ONE Apus,Oceanic Pvt Ltd,JOB200049,Los Angeles,SIN,VOY529W,DXB,RTM,Jebel Ali,Rotterdam,18,0,4086,Hazardous,0.88,2,0,5,5
2025-09-14 23:09:36,126,1308,7,51,2025-08-09 09:09:36,2025-08-11 09:09:36,2025-09-03 09:09:36,2025-09-13 09:09:36,2025-08-08 21:09:36,2025-08-09 21:09:36,2025-08-11 12:09:36,517987,Sea,Bulk Carrier,Manual,Manual,On Schedule,CMA CGM,Evergreen Ever Given,LogiCorp,JOB200050,Singapore,HAM,VOY540N,HAM,DDR,Hamburg,Dadri ICD,25,1,6183,Hazardous,0.86,1,0,10,10
2024-11-08 03:34:49,173,1414,14,52,2024-10-22 07:34:49,2024-10-21 07:34:49,2024-10-30 07:34:49,2024-11-07 07:34:49,2024-10-22 22:34:49,2024-10-22 04:34:49,2024-10-22 19:34:49,515096,Sea,Bulk Carrier,System,Manual,Weather Delay,CMA CGM,COSCO Shipping Taurus,GlobalFreight,JOB200051,Singapore,HAM,VOY612E,SHA,JNPT,Shanghai Port,Nhava Sheva (JNPT),8,0,4597,Bulk,0.89,0,1,8,8
2025-11-06 08:19:46,181,1116,17,53,2025-10-17 22:19:46,2025-10-18 22:19:46,2025-10-26 22:19:46,2025-11-05 22:19:46,2025-10-18 18:19:46,2025-10-18 02:19:46,2025-10-19 02:19:46,525415,Sea,Bulk Carrier,Manual,System,Weather Delay,Maersk,ONE Apus,LogiCorp,JOB200052,Dubai,RTM,VOY703W,PUS,SHA,Busan,Shanghai Port,9,2,4194,Reefer,0.9,1,0,10,10
2025-09-24 20:26:24,160,1452,10,54,2025-08-13 11:26:24,2025-08-14 11:26:24,2025-09-07 11:26:24,2025-09-24 11:26:24,2025-08-13 03:26:24,2025-08-13 07:26:24,2025-08-15 15:26:24,577518,Sea,Container Ship,Manual,System,Customs Hold,Hapag-Lloyd,Maersk Mc-Kinney Moller,Oceanic Pvt Ltd,JOB200053,Singapore,BOM,VOY281W,TSN,KHJ,Tianjin,Khurja ICD,25,1,6390,Dry Container,0.88,2,1,17,17
2024-03-13 10:22:10,164,1154,2,55,2024-02-29 14:22:10,2024-02-29 14:22:10,2024-03-11 14:22:10,2024-03-12 14:22:10,2024-03-01 08:22:10,2024-02-29 16:22:10,2024-03-02 04:22:10,513566,Sea,Bulk Carrier,System,System,On Schedule,COSCO,Maersk Mc-Kinney Moller,LogiCorp,JOB200054,Hamburg,SIN,VOY729W,TSN,LCH,Tianjin,Laem Chabang,11,0,8267,Hazardous,0.86,4,0,1,1
2024-10-27 10:32:58,132,1741,20,56,2024-10-09 15:32:58,2024-10-12 15:32:58,2024-10-17 15:32:58,2024-10-25 15:32:58,2024-10-09 21:32:58,2024-10-09 07:32:58,2024-10-13 15:32:58,543694,Sea,Container Ship,System,Manual,Customs Hold,MSC,Hapag-Lloyd Jakarta Express,GlobalFreight,JOB200055,Hamburg,HAM,VOY496W,KHJ,DXB,Khurja ICD,Jebel Ali,8,1,4485,Hazardous,0.89,1,0,8,8
2024-09-26 06:01:28,143,1970,16,57,2024-08-28 11:01:28,2024-08-29 11:01:28,2024-09-20 11:01:28,2024-09-25 11:01:28,2024-08-28 12:01:28,2024-08-28 05:01:28,2024-08-29 22:01:28,529693,Sea,Container Ship,System,System,Customs Hold,COSCO,CMA CGM Marco Polo,LogiCorp,JOB200056,Los Angeles,LAX,VOY910E,CIC,RTM,Inland Chennai ICD,Rotterdam,23,0,6954,Dry Container,0.87,2,0,5,5
